name,developer,publisher,release date,rating,24hour-peak-user,
DC Universe Online,Store Name DC Universe??Online,"Developer
Daybreak Game Company","November 2, 2011 ??21:32:00 UTC (8 years ago)",? 77,670,
Wolfenstein: The New Order,Machine Games,Bethesda-Soft,"May 19, 2014 ??22:00:00 UTC (6 years ago)",? 88,624,
theFisher Online,R-Age,R-Age,"October 27, 2019 ??21:07:10 UTC (3 months ago)",? 87,648,
Bloodstained: Ritual of the Night,ArtPlay,505 Games,"June 18, 2019 ??13:00:00 UTC (7 months ago)",? 94,611,
ParanormalHK,Store Name �?���?��ParanormalHK,"Developer
Ghostpie Studio","January 6, 2020 ??11:54:15 UTC (5 days ago)",? 72,716,
Dicey Dungeons,Terry Cavanagh,Terry Cavanagh,"August 13, 2019 ??16:20:00 UTC (5 months ago)",? 87,726,
Rising Storm/Red Orchestra 2 Multiplayer,Store Name Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"Developer
Tripwire Interactive","September 13, 2011 ??22:00:00 UTC (8 years ago)",? 90,628,
Riders of Icarus,WeMade,VALOFE,"July 6, 2016 ??15:00:00 UTC (4 years ago)",? 65,593,
Gears 5,The Coalition,Xbox Game Studios,"September 10, 2019 ??01:00:00 UTC (4 months ago)",? 59,591,
Everlasting Summer,Soviet Games,Soviet Games,"November 19, 2014 ??14:55:00 UTC (5 years ago)",? 93,675,
Call of Duty: WWII,Store Name Call of Duty®: WWII,"Developer
Sledgehammer Games","November 3, 2017 ??04:00:00 UTC (2 years ago)",? 58,583,
Heroes of Hammerwatch,Crackshell,Crackshell,"March 1, 2018 ??20:59:34 UTC (2 years ago)",? 83,581,
Freeman: Guerrilla Warfare,KK Game Studio,KK Game Studio,"October 5, 2019 ??01:04:42 UTC (3 months ago)",? 80,598,
Ultimate Chicken Horse,Clever Endeavour Games,Clever Endeavour Games,"March 4, 2016 ??17:00:07 UTC (4 years ago)",? 93,585,
Lobotomy Corporation,Store Name Lobotomy Corporation | Monster Management Simulation,"Developer
Project Moon","April 9, 2018 ??14:45:12 UTC (2 years ago)",? 88,674,
Football Manager 2020 Demo,Supported Systems STEAMPLAY,"Last Record Update about 17 hours ago (January 10, 2020 ??22:38:00 UTC)",NULL,579,599,
Endless Legend,"Store Name Endless Legend??""Developer",,,,,
"AMPLITUDE Studios""","September 18, 2014 ??15:57:00 UTC (5 years ago)",? 81,578,,,
Stronghold Crusader 2,FireFly Studios,FireFly Studios,"September 22, 2014 ??21:04:00 UTC (5 years ago)",? 62,601,
Call of Duty: Modern Warfare 3,Last Known Name Call of Duty®: Modern Warfare® 3,"Developer
Infinity Ward",NULL,577,594,
Spyro??Reignited Trilogy,Toys for Bob,Activision,"September 3, 2019 ??17:00:00 UTC (4 months ago)",? 93,588,
MapleStory 2,Nexon Korea Corporation,Nexon America Inc.,"October 4, 2018 ??16:00:00 UTC (about a year ago)",? 72,859,
Besiege,Spiderling Studios,Spiderling Studios,"January 28, 2015 ??20:00:00 UTC (5 years ago)",? 92,602,
Baldur's Gate II: Enhanced Edition,Beamdog,Beamdog,"November 15, 2013 ??23:59:00 UTC (6 years ago)",? 84,571,
resident evil 4 / biohazard 4,Capcom,Capcom,"February 28, 2014 ??05:00:00 UTC (6 years ago)",? 83,571,
Kingdoms and Castles,"Lion Shield, LLC","Lion Shield, LLC","July 20, 2017 ??15:54:00 UTC (2 years ago)",? 86,573,
Survarium,Vostok Games,Vostok Games,"April 2, 2015 ??19:04:00 UTC (5 years ago)",? 52,566,
Hand Simulator: Survival,HFM Games,HFM Games,"December 17, 2019 ??17:59:22 UTC (25 days ago)",? 84,634,
Foundation,Polymorph Games,Polymorph Games,"February 1, 2019 ??15:00:11 UTC (11 months ago)",? 78,560,
APB Reloaded,Little Orbit,Little Orbit,"December 7, 2011 ??01:12:00 UTC (8 years ago)",? 62,628,
ShareX,ShareX Team,ShareX Team,"October 2, 2015 ??17:11:00 UTC (4 years ago)",? 91,559,
City Car Driving,"Forward Development, Ltd.","Forward Global Group, Ltd.","November 3, 2016 ??18:58:00 UTC (3 years ago)",? 72,589,
Football Manager 2020 Editor,Supported Systems STEAMPLAY,"Last Record Update about a month ago (December 10, 2019 ??22:38:45 UTC)",NULL,552,557,
Thronebreaker: The Witcher Tales,CD PROJEKT RED,CD PROJEKT RED,"November 9, 2018 ??19:00:00 UTC (about a year ago)",? 87,557,
Call of Duty: Black Ops II - Zombies,"Last Record Update 4 days ago (January 8, 2020 ??02:42:59 UTC)","Last Change Number
7496266",NULL,546,677,
Dark and Light,Snail Games USA,Snail Games USA,"July 20, 2017 ??17:31:48 UTC (2 years ago)",? 54,546,
Planetary Annihilation: TITANS,Planetary Annihilation Inc,Planetary Annihilation Inc,"August 18, 2015 ??16:55:00 UTC (4 years ago)",? 79,570,
Thronebreaker: The Witcher Tales,CD PROJEKT RED,CD PROJEKT RED,"November 9, 2018 ??19:00:00 UTC (about a year ago)",? 87,557,
Thief Simulator,Noble Muffins,PlayWay S.A.,"November 9, 2018 ??16:02:54 UTC (about a year ago)",? 79,544,
Command and Conquer: Red Alert 3,Store Name Command & Conquer: Red Alert 3,"Developer
EA Los Angeles","January 8, 2009 ??08:00:00 UTC (11 years ago)",? 82,560,
City Car Driving,"Forward Development, Ltd.","Forward Global Group, Ltd.","November 3, 2016 ??18:58:00 UTC (3 years ago)",? 72,589,
Ultimate Custom Night,Scott Cawthon,Scott Cawthon,"June 27, 2018 ??14:21:00 UTC (2 years ago)",? 92,537,
Dragon Age: Origins - Ultimate Edition,BioWare,Electronic Arts,NULL,? 89,702,
Assassin's Creed II,Store Name Assassin's Creed 2 Deluxe Edition,"Developer
Ubisoft Montreal","March 5, 2010 ??00:00:00 UTC (10 years ago)",? 84,597,
A Hat in Time,Gears for Breakfast,Gears for Breakfast,"October 5, 2017 ??21:00:00 UTC (2 years ago)",? 95,601,
TERA,"Bluehole, Inc.",En Masse Entertainment,"May 5, 2015 ??21:44:00 UTC (5 years ago)",? 77,859,
Galactic Civilizations III,Stardock Entertainment,Stardock Entertainment,"May 14, 2015 ??17:05:00 UTC (5 years ago)",? 74,551,
Ori and the Blind Forest: Definitive Edition,Moon Studios GmbH,Xbox Game Studios,"April 27, 2016 ??15:02:00 UTC (4 years ago)",? 94,569,
TrackMania² Stadium,Nadeo,Ubisoft,"June 20, 2013 ??13:00:00 UTC (7 years ago)",? 83,537,
Black Survival,"Store Name Black Survival / 黑色幸存??""Developer",,,,,
"Nimble Neuron""","March 20, 2019 ??02:00:46 UTC (10 months ago)",? 77,637,,,
Gothic II: Gold Edition,Piranha Bytes,THQ Nordic,NULL,? 86,550,
"Warhammer 40,000: Inquisitor - Martyr",NeocoreGames,NeocoreGames,"June 5, 2018 ??17:13:00 UTC (2 years ago)",? 67,526,
Wizard And Minion Idle,Oninou,Oninou,"February 7, 2019 ??12:15:42 UTC (11 months ago)",??83,529,
Trine 4: The Nightmare Prince,Frozenbyte,Modus Games,"October 8, 2019 ??12:58:00 UTC (3 months ago)",? 89,524,
No More Room in Hell,No More Room in Hell Team,Lever Games,"October 31, 2013 ??09:12:00 UTC (6 years ago)",? 87,580,
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","January 26, 2017 ??00:01:00 UTC (3 years ago)",? 90,523,
Bus Simulator 18,stillalive studios,astragon Entertainment,"June 13, 2018 ??17:00:00 UTC (2 years ago)",? 73,559,
Catan Universe,Exozet,United Soft Media,"April 25, 2017 ??12:03:00 UTC (3 years ago)",? 41,616,
FINAL FANTASY VII,Square Enix,Square Enix,"July 4, 2013 (7 years ago)",? 90,534,
Golf With Your Friends,Blacklight Interactive,Team17 Digital Ltd,"January 29, 2016 ??23:53:52 UTC (4 years ago)",? 88,"1,268",
ATOM RPG,Store Name ATOM RPG: Post-apocalyptic indie game,"Developer
AtomTeam","December 19, 2018 ??19:13:46 UTC (about a year ago)",? 85,530,
RutonyChat,Rutony Studio,Rutony Studio,"September 19, 2016 ??17:43:03 UTC (3 years ago)",??77,612,
Elsword,KOG,KOG Games,"July 2, 2014 ??19:00:00 UTC (6 years ago)",? 73,577,
NosTale,"Entwell Co., Ltd.",Gameforge 4D GmbH,"September 18, 2017 ??11:58:09 UTC (2 years ago)",? 68,538,
Pixel Worlds,Store Name Pixel Worlds: MMO Sandbox,"Developer
Kukouri Mobile Entertainment","June 9, 2017 ??06:42:05 UTC (3 years ago)",? 64,516,
Getting Over It with Bennett Foddy,Bennett Foddy,Bennett Foddy,"December 6, 2017 ??19:59:00 UTC (2 years ago)",? 78,539,
Football Manager 2019 Touch,Sports Interactive,SEGA,"November 2, 2018 ??15:00:00 UTC (about a year ago)",??72,544,
Blood Bowl 2,Cyanide Studios,Focus Home Interactive,"September 22, 2015 ??16:00:00 UTC (4 years ago)",? 72,672,
Batman: Arkham City GOTY,Store Name Batman: Arkham City - Game of the Year Edition,"Developer
Rocksteady Studios","September 7, 2012 ??18:08:00 UTC (7 years ago)",? 93,515,
SimCity 4 Deluxe,Store Name SimCity??4 Deluxe Edition,"Developer
EA - Maxis","September 22, 2003 (16 years ago)",? 75,521,
Getting Over It with Bennett Foddy,Bennett Foddy,Bennett Foddy,"December 6, 2017 ??19:59:00 UTC (2 years ago)",? 78,539,
Tropico 5,Haemimont Games,Kalypso Media Digital,"May 23, 2014 ??15:20:00 UTC (6 years ago)",? 75,524,
Batman: Arkham City GOTY,Store Name Batman: Arkham City - Game of the Year Edition,"Developer
Rocksteady Studios","September 7, 2012 ??18:08:00 UTC (7 years ago)",? 93,515,
MOBIUS FINAL FANTASY,Store Name MOBIUS FINAL FANTASY®,"Developer
Square Enix","October 31, 2016 ??20:32:00 UTC (3 years ago)",??55,521,
Resident Evil 5 / Biohazard 5,Store Name Resident Evil??5/ Biohazard 5®,"Developer
Capcom","September 15, 2009 ??07:00:00 UTC (10 years ago)",? 84,530,
Borderless Gaming,AndrewMD5,Supported Systems,NULL,? 81,545,
Sudden Strike 4,Kite Games,Kalypso Media Digital,"August 11, 2017 ??17:00:00 UTC (2 years ago)",? 69,500,
The Evil Within 2,Tango Gameworks,Bethesda Softworks,"October 13, 2017 ??07:00:00 UTC (2 years ago)",? 89,555,
Mount & Blade: With Fire and Sword,Store Name Mount & Blade: With Fire & Sword,"Developer
TaleWorlds Entertainment","May 3, 2011 ??17:48:00 UTC (9 years ago)",? 84,515,
Sleeping Dogs: Definitive Edition,United Front Games,SQUARE ENIX,"October 14, 2014 ??23:01:00 UTC (5 years ago)",? 88,530,
Metro: Last Light Redux,4A Games,Deep Silver,"August 27, 2014 ??22:11:00 UTC (5 years ago)",? 81,497,
Aura Kingdom,X-Legend,Aeria Games,"July 4, 2014 ??09:40:00 UTC (6 years ago)",? 76,503,
Day of Defeat: Source,Valve,Valve,"September 26, 2005 ??07:00:00 UTC (14 years ago)",? 87,789,
Killing Floor,Tripwire Interactive,Tripwire Interactive,"May 14, 2009 ??07:00:00 UTC (11 years ago)",? 93,548,
DARK SOULS?? Prepare To Die Edition,Store Name DARK SOULS?? Prepare To Die??Edition,"Developer
FromSoftware","August 24, 2012 ??07:00:00 UTC (7 years ago)",? 89,505,
Golf It!,Perfuse Entertainment,Perfuse Entertainment,"February 17, 2017 ??15:00:00 UTC (3 years ago)",? 83,"1,087",
TrackMania Nations Forever,Nadeo,Ubisoft,NULL,? 84,527,
3DMark,UL,UL,NULL,? 86,513,
Call of Duty: Black Ops,Store Name Call of Duty®: Black Ops,"Developer
Treyarch","November 9, 2010 ??17:00:00 UTC (9 years ago)",? 86,541,
FINAL FANTASY XII THE ZODIAC AGE,Square Enix,Square Enix,"February 1, 2018 ??16:56:04 UTC (2 years ago)",? 83,501,
Call of Duty: Black Ops - Multiplayer,Last Known Name Call of Duty®: Black Ops,"Developer
Treyarch",NULL,479,516,
SOULCALIBUR VI,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,"October 18, 2018 ??22:00:00 UTC (about a year ago)",? 78,515,
theHunter Classic,Expansive Worlds,Expansive Worlds,"June 3, 2014 ??13:15:00 UTC (6 years ago)",? 45,"1,434",
Star Conflict,Star Gem Inc.,Gaijin Entertainment,"February 27, 2013 ??17:04:00 UTC (7 years ago)",? 73,475,
Airport CEO,Apoapsis Studios,Apoapsis Studios,"September 28, 2017 ??17:00:35 UTC (2 years ago)",? 78,474,
No-brainer Heroes,"Store Name No-brainer Heroes ?�机?�！?��?""Developer",,,,,
"OnigiriStudio""","November 29, 2019 ??12:18:25 UTC (about a month ago)",??76,505,,,
Metro 2033 Redux,4A Games,Deep Silver,"August 28, 2014 ??22:00:00 UTC (5 years ago)",? 80,472,
MechWarrior Online,Store Name MechWarrior Online??Solaris 7,"Developer
Piranha Games Inc.","December 10, 2015 ??17:59:54 UTC (4 years ago)",? 72,672,
Blasphemous,The Game Kitchen,Team17 Digital Ltd,"September 10, 2019 ??10:57:15 UTC (4 months ago)",? 83,470,
Call to Arms,Digitalmindsoft,Digitalmindsoft,"April 27, 2018 ??14:04:00 UTC (2 years ago)",? 74,490,
Football Manager 2013,"Last Known Name Football Manager 2013??""Developer",,,,,
"Sports Interactive""","November 2, 2012 ??00:00:00 UTC (7 years ago)",469,518,,,
BioShock Remastered,Store Name BioShock??Remastered,"Developer
2K Boston","September 15, 2016 ??22:00:00 UTC (3 years ago)",? 67,490,
S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,GSC Game World,"February 11, 2010 ??23:19:00 UTC (10 years ago)",? 93,476,
Yakuza Kiwami 2,SEGA,SEGA,"May 9, 2019 ??13:59:59 UTC (8 months ago)",? 92,469,
Blush Blush,Sad Panda Studios,Sad Panda Studios,"April 4, 2019 ??15:36:19 UTC (9 months ago)",? 84,549,
Ni no Kuni??II: Revenant Kingdom,Level-5,BANDAI NAMCO Entertainment,"March 23, 2018 ??16:59:00 UTC (2 years ago)",? 81,467,
Feed and Grow: Fish,Old B1ood,Greens s.r.o.,"January 8, 2016 ??19:03:00 UTC (4 years ago)",? 72,460,
Hero Siege,Elias Viglione,Panic Art Studios,"January 29, 2014 ??16:38:00 UTC (6 years ago)",? 77,457,
Blasphemous,The Game Kitchen,Team17 Digital Ltd,"September 10, 2019 ??10:57:15 UTC (4 months ago)",? 83,470,
Rec Room,Rec Room,Rec Room,"June 28, 2016 ??23:54:00 UTC (4 years ago)",? 89,588,
Sniper Elite 3,Rebellion,Rebellion,"June 27, 2014 ??07:59:00 UTC (6 years ago)",? 78,458,
Star Conflict,Star Gem Inc.,Gaijin Entertainment,"February 27, 2013 ??17:04:00 UTC (7 years ago)",? 73,475,
Marvel Puzzle Quest,Store Name MARVEL Puzzle Quest,"Developer
Demiurge Studios","December 5, 2013 ??18:00:00 UTC (6 years ago)",? 67,485,
Danganronpa 2: Goodbye Despair,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","April 19, 2016 ??00:45:50 UTC (4 years ago)",? 93,509,
Borderlands GOTY Enhanced,Store Name Borderlands Game of the Year Enhanced,"Developer
Gearbox Software","April 3, 2019 ??14:00:00 UTC (9 months ago)",? 82,476,
Subsistence,ColdGames,ColdGames,"October 25, 2016 ??11:10:29 UTC (3 years ago)",? 70,507,
Batman?? Arkham Origins,WB Games Montreal,Warner Bros. Interactive Entertainment,"October 25, 2013 ??17:00:00 UTC (6 years ago)",? 84,446,
Soundpad Demo,Leppsoft,Leppsoft,"October 4, 2017 ??05:57:00 UTC (2 years ago)",446,523,
DARK SOULS??II,"FromSoftware, Inc",BANDAI NAMCO Entertainment,"April 25, 2014 ??07:00:00 UTC (6 years ago)",? 87,457,
BattleBlock Theater,Store Name BattleBlock Theater®,"Developer
The Behemoth","May 15, 2014 ??17:01:00 UTC (6 years ago)",? 95,544,
Dungeons 3,Realmforge Studios,Kalypso Media Digital,"October 13, 2017 ??17:01:08 UTC (2 years ago)",? 92,444,
UNO,Ubisoft Entertainment,Ubisoft Entertainment,"January 3, 2017 ??16:58:00 UTC (3 years ago)",? 73,870,
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,GSC Game World,"August 31, 2007 ??20:00:00 UTC (12 years ago)",? 92,448,
Dungeon Defenders,Trendy Entertainment,Trendy Entertainment,"October 19, 2011 ??06:27:00 UTC (8 years ago)",? 89,466,
Into the Breach,Subset Games,Subset Games,"February 27, 2018 ??15:00:00 UTC (2 years ago)",? 90,458,
Ylands,Bohemia Interactive,Bohemia Interactive,"December 5, 2019 ??17:03:00 UTC (about a month ago)",? 58,436,
Alien Swarm: Reactive Drop,Reactive Drop Team,Reactive Drop Team,"April 20, 2017 ??17:00:36 UTC (3 years ago)",? 91,434,
Digimon Story Cyber Sleuth: Complete Edition,"h.a.n.d., Inc.",BANDAI NAMCO Entertainment Inc.,"October 17, 2019 ??22:00:40 UTC (3 months ago)",? 90,433,
Quake Live,"Store Name Quake Live??""Developer",,,,,
"id Software""","September 17, 2014 ??19:59:00 UTC (5 years ago)",? 82,577,,,
LEGO® City Undercover,Traveller's Tales,TT Games,"April 4, 2017 ??17:31:00 UTC (3 years ago)",? 74,428,
Shadow Tactics: Blades of the Shogun,Mimimi Games,Daedalic Entertainment,"December 6, 2016 ??16:56:19 UTC (3 years ago)",? 93,434,
"?�人�?���??�更?�修�??�更?�修�?""November 14"," 2018 ??16:30:15 UTC (about a year ago)""",? 67,455,,,
Duck Game,Landon Podbielski,Adult Swim Games,NULL,? 93,484,
Hand Simulator,HFM Games,HFM Games,"July 18, 2017 ??23:04:15 UTC (2 years ago)",? 80,456,
State of Decay: Year-One,Store Name State of Decay: YOSE,"Developer
Undead Labs","April 28, 2015 ??03:57:00 UTC (5 years ago)",? 76,434,
LEGO® MARVEL Super Heroes,Store Name LEGO® Marvel??Super Heroes,"Developer
Traveller's Tales","October 22, 2013 (6 years ago)",? 90,420,
Romance of the Three Kingdoms XI with Power Up Kit,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","January 17, 2018 ??01:03:45 UTC (2 years ago)",? 84,444,
Yakuza Kiwami,SEGA,SEGA,"February 19, 2019 ??15:00:00 UTC (11 months ago)",? 90,418,
Kingdom Under Fire 2,Blueside,Gameforge 4D GmbH,"November 18, 2019 ??17:20:20 UTC (2 months ago)",? 73,430,
South Park The Fractured But Whole,"Store Name South Park?? The Fractured But Whole??""Developer",,,,,
"Ubisoft San Francisco""","October 17, 2017 ??04:00:00 UTC (2 years ago)",? 74,443,,,
SpellForce 3,Grimlore Games,THQ Nordic,"December 7, 2017 ??17:59:53 UTC (2 years ago)",? 71,414,
"STAR WARS??Jedi Knight: Jedi Academy??Store Name STAR WARS??Jedi Knight - Jedi Academy??""Developer",,,,,,
"Raven Software""","September 16, 2003 (16 years ago)",? 92,415,,,
Grand Theft Auto: Vice City,Rockstar Games,Rockstar Games,"January 4, 2008 ??17:55:00 UTC (12 years ago)",? 90,413,
New Frontier,Free Reign Entertainment,Free Reign Entertainment,"December 27, 2019 ??18:48:57 UTC (15 days ago)",? 48,420,
Dirty Bomb,Store Name Dirty Bomb®,"Developer
Splash Damage","June 2, 2015 ??15:58:00 UTC (5 years ago)",? 79,432,
Hades' Star,Parallel Space Inc,Parallel Space Inc,"February 27, 2019 ??15:55:08 UTC (11 months ago)",? 73,441,
?��?Store Name ?��?姫麻?�,"Developer
Jack Tech","August 6, 2019 ??05:16:32 UTC (5 months ago)",? 67,428,,
Kingdom Two Crowns,Noio,Raw Fury,"December 11, 2018 ??15:12:00 UTC (about a year ago)",? 81,404,
LEGO® STAR WARS?? The Force Awakens,Traveller's Tales,Warner Bros. Interactive Entertainment,"June 28, 2016 ??17:00:00 UTC (4 years ago)",? 79,402,
Steep,"Store Name Steep??""Developer",,,,,
"Ubisoft Annecy""","December 2, 2016 ??08:00:00 UTC (3 years ago)",? 76,424,,,
The Lost Souls,GDNomad,Infernal Dream,"April 11, 2016 ??17:55:33 UTC (4 years ago)",??46,400,
HELLDIVERS??Store Name HELLDIVERS??Dive Harder Edition,"Developer
Arrowhead Game Studios","December 7, 2015 ??15:45:00 UTC (4 years ago)",? 89,398,,
GRID 2,Codemasters Racing,Codemasters,NULL,? 80,439,
Dungeon Fighter Online,Neople,Neople,"August 9, 2016 ??16:57:46 UTC (3 years ago)",? 67,397,
Might & Magic Heroes VII ??Trial by Fire,Store Name Might and Magic: Heroes VII ??Trial by Fire,"Developer
Limbic Entertainment","August 4, 2016 ??12:08:30 UTC (3 years ago)",??56,397,
Crypt of the NecroDancer,Brace Yourself Games,Brace Yourself Games,"April 23, 2015 ??16:23:00 UTC (5 years ago)",? 93,406,
RAGE 2,id Software,Bethesda Softworks,"May 14, 2019 ??00:00:00 UTC (8 months ago)",? 58,401,
Action! - Gameplay Recording and Streaming,Mirillis,Mirillis,"May 8, 2014 ??20:44:00 UTC (6 years ago)",? 79,419,
"Warhammer 40,000: Dawn of War II - Retribution","Last Known Name Warhammer 40,000: Dawn of War II: Retribution","Developer
Relic Entertainment",NULL,392,446,
WAKFU,Ankama Studio,Ankama Games,"September 18, 2014 ??16:04:00 UTC (5 years ago)",? 74,451,
Broforce,Free Lives,Devolver Digital,"October 15, 2015 ??14:08:00 UTC (4 years ago)",? 94,405,
Supreme Commander 2,Gas Powered Games,Square Enix,"March 2, 2010 ??20:00:00 UTC (10 years ago)",? 83,416,
Automation - The Car Company Tycoon Game,Camshaft Software,Camshaft Software,"March 12, 2015 ??16:02:44 UTC (5 years ago)",? 85,427,
Heroes of Might & Magic V: Tribes of the East,Nival,Ubisoft,NULL,? 86,401,
Supreme Commander 2,Gas Powered Games,Square Enix,"March 2, 2010 ??20:00:00 UTC (10 years ago)",? 83,416,
The Lost Souls,GDNomad,Infernal Dream,"April 11, 2016 ??17:55:33 UTC (4 years ago)",??46,400,
Bold New World,Limed,Limed,"January 18, 2017 ??04:52:20 UTC (3 years ago)",387,"2,414",
Might & Magic Heroes VII ??Trial by Fire,Store Name Might and Magic: Heroes VII ??Trial by Fire,"Developer
Limbic Entertainment","August 4, 2016 ??12:08:30 UTC (3 years ago)",??56,397,
Shovel Knight: Treasure Trove,Yacht Club Games,Yacht Club Games,"June 26, 2014 ??18:07:00 UTC (6 years ago)",? 93,395,
Crypt of the NecroDancer,Brace Yourself Games,Brace Yourself Games,"April 23, 2015 ??16:23:00 UTC (5 years ago)",? 93,406,
Battlefield: Bad Company 2,Store Name Battlefield: Bad Company??2,"Developer
DICE","March 2, 2010 ??20:00:00 UTC (10 years ago)",? 84,385,
Project Hospital,Oxymoron Games,Oxymoron Games,"October 30, 2018 ??15:59:23 UTC (about a year ago)",? 80,400,
Need for Speed: Hot Pursuit,Store Name Need For Speed: Hot Pursuit,"Developer
Criterion Games","December 14, 2010 ??20:59:00 UTC (9 years ago)",? 79,386,
Secret Neighbor,Hologryph,tinyBuild,"October 24, 2019 ??16:53:47 UTC (3 months ago)",? 85,388,
Wasteland 2: Director's Cut,inXile Entertainment,Supported Systems STEAMPLAY,NULL,376,376,
Darksiders II Deathinitive Edition,Gunfire Games,THQ Nordic,"November 5, 2015 ??17:57:00 UTC (4 years ago)",? 74,378,
Command and Conquer 3: Tiberium Wars,Store Name Command & Conquer 3: Tiberium Wars,"Developer
EA Los Angeles","March 28, 2007 (13 years ago)",? 86,380,
Sven Co-op,Sven Co-op team,Sven Co-op team,"January 22, 2016 ??23:42:00 UTC (4 years ago)",? 89,429,
Wizard of Legend,Contingent99,Contingent99,"May 15, 2018 ??15:57:00 UTC (2 years ago)",? 88,381,
Dishonored RHCP,Store Name Dishonored,"Developer
Arkane Studios","October 11, 2012 ??17:00:00 UTC (7 years ago)",? 94,376,
"LEGO® Star Wars??III: The Clone Wars??Store Name LEGO® Star Wars??III - The Clone Wars??""Developer",,,,,,
"Traveller's Tales""","March 22, 2011 (9 years ago)",? 84,376,,,
HELLDIVERS??Store Name HELLDIVERS??Dive Harder Edition,"Developer
Arrowhead Game Studios","December 7, 2015 ??15:45:00 UTC (4 years ago)",? 89,398,,
Vainglory,"Rogue Games, Inc.","Rogue Games, Inc.","February 13, 2019 ??20:00:00 UTC (11 months ago)",? 65,378,
Fernbus Simulator,TML-Studios,Aerosoft GmbH,"August 25, 2016 ??07:09:00 UTC (3 years ago)",? 60,380,
Might & Magic: Heroes VI,Blackhole,Ubisoft,NULL,? 47,370,
Heroes of Might & Magic V,Nival,Ubisoft,NULL,? 83,368,
Gloria Victis,Black Eye Games,Black Eye Games,"June 9, 2016 ??21:35:26 UTC (4 years ago)",? 68,395,
Crash Bandicoot??N. Sane Trilogy,Vicarious Visions,Activision,"June 29, 2018 ??17:00:00 UTC (2 years ago)",? 90,389,
Stonehearth,Radiant Entertainment,(none),"July 25, 2018 ??20:40:55 UTC (about a year ago)",? 73,369,
Turn Around,Limed,Limed,"February 28, 2017 ??17:01:02 UTC (3 years ago)",365,976,
"Papers, Please",Lucas Pope,3909,"August 8, 2013 ??17:00:00 UTC (6 years ago)",? 94,377,
AION Free-to-Play,Store Name AION MMO,"Developer
NCSOFT","December 16, 2015 ??13:07:00 UTC (4 years ago)",? 59,427,
Clone Drone in the Danger Zone,Doborog Games,Doborog Games,"March 16, 2017 ??14:32:40 UTC (3 years ago)",? 92,364,
FINAL FANTASY XIII,Store Name FINAL FANTASY® XIII,"Developer
Square Enix","October 9, 2014 ??16:52:00 UTC (5 years ago)",? 70,376,
"Warhammer 40,000: Dawn of War - Dark Crusade","Store Name Warhammer® 40,000: Dawn of War® - Dark Crusade","Developer
Relic Entertainment","August 7, 2007 ??07:00:00 UTC (12 years ago)",? 92,366,
Warhammer: Chaos & Conquest,Store Name Warhammer: Chaos And Conquest,"Developer
Hunted Cow Studios","November 18, 2019 ??15:24:25 UTC (2 months ago)",??62,367,
A Dance of Fire and Ice,7th Beat Games,7th Beat Games,"January 25, 2019 ??00:01:00 UTC (12 months ago)",? 91,560,
Farming Simulator 15,Giants Software,Giants Software,"October 30, 2014 ??07:41:00 UTC (5 years ago)",? 88,360,
Bloons TD5,Store Name Bloons TD 5,"Developer
Ninja Kiwi","November 19, 2014 ??10:43:08 UTC (5 years ago)",? 89,400,
Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,"October 16, 2012 ??16:30:00 UTC (7 years ago)",? 81,438,
Mist Survival,Dimension 32 Entertainment,Dimension 32 Entertainment,"August 15, 2018 ??06:00:15 UTC (about a year ago)",? 79,362,
Zombidle: REMONSTERED,Store Name Zombidle : REMONSTERED,"Developer
Berzerk Studio","May 30, 2017 ??13:08:17 UTC (3 years ago)",? 82,359,
Danganronpa V3: Killing Harmony,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","September 26, 2017 ??06:59:33 UTC (2 years ago)",? 82,377,
Kingdoms of Amalur: Reckoning??Big Huge Games,38 Studios,NULL,? 85,357,,
IL-2 Sturmovik: Battle of Stalingrad,1C Game Studios,1C Game Studios,"October 22, 2014 ??16:24:00 UTC (5 years ago)",? 72,382,
Darwin Project,Scavengers Studio,Scavengers Studio,"March 9, 2018 ??19:44:00 UTC (2 years ago)",? 79,376,
Poly Bridge,Dry Cactus,Dry Cactus,"July 12, 2016 ??16:54:00 UTC (4 years ago)",? 87,374,
Anno 2205,"Store Name Anno 2205??""Developer",,,,,
"Blue Byte""","November 2, 2015 ??23:00:00 UTC (4 years ago)",? 64,353,,,
Spelunky,Mossmouth,Mossmouth,"August 8, 2013 ??17:00:00 UTC (6 years ago)",? 89,383,
Farmer's Dynasty,Toplitz Productions,Toplitz Productions,"November 21, 2019 ??09:10:39 UTC (2 months ago)",? 77,351,
Soccer Manager 2019,Soccer Manager Ltd,Soccer Manager Ltd,"December 19, 2018 ??12:01:22 UTC (about a year ago)",? 73,382,
